scenario,distribution,implementation,n,trial,seed,operations,elapsed_ns,ns_per_op,height,estimated_bytes,checksum
lookup,sorted,sorted_vector,500,0,524329516,500,21958,43.916000,,32012,10249041130393771109
lookup,sorted,ordinary_bst,500,0,524329516,500,159667,319.334000,500,32024,10249041130393771109
lookup,sorted,red_black_tree,500,1,524329772,500,24750,49.500000,15,36104,12957377794888083045
lookup,sorted,ordinary_bst,500,1,524329772,500,160292,320.584000,500,32024,12957377794888083045
lookup,sorted,sorted_vector,500,1,524329772,500,22375,44.750000,,32012,12957377794888083045
lookup,sorted,red_black_tree,500,2,524330028,500,24583,49.166000,15,36104,14040931004434039268
lookup,sorted,ordinary_bst,500,2,524330028,500,160333,320.666000,500,32024,14040931004434039268
lookup,sorted,sorted_vector,500,2,524330028,500,21542,43.084000,,32012,14040931004434039268
lookup,sorted,red_black_tree,500,3,524330284,500,23916,47.832000,15,36104,278106725181746603
lookup,sorted,sorted_vector,500,3,524330284,500,22209,44.418000,,32012,278106725181746603
lookup,sorted,ordinary_bst,500,3,524330284,500,159417,318.834000,500,32024,278106725181746603
lookup,sorted,sorted_vector,500,4,524330540,500,21875,43.750000,,32012,12004229812968680539
lookup,sorted,ordinary_bst,500,4,524330540,500,159208,318.416000,500,32024,12004229812968680539
lookup,sorted,red_black_tree,500,4,524330540,500,23875,47.750000,15,36104,12004229812968680539
lookup,sorted,red_black_tree,500,5,524330796,500,24125,48.250000,15,36104,16523945936600950331
lookup,sorted,ordinary_bst,500,5,524330796,500,160250,320.500000,500,32024,16523945936600950331
lookup,sorted,sorted_vector,500,5,524330796,500,21625,43.250000,,32012,16523945936600950331
lookup,sorted,red_black_tree,500,6,524331052,500,23667,47.334000,15,36104,4479375201446991913
lookup,sorted,sorted_vector,500,6,524331052,500,22042,44.084000,,32012,4479375201446991913
lookup,sorted,ordinary_bst,500,6,524331052,500,166541,333.082000,500,32024,4479375201446991913
build,random,red_black_tree,500,0,524329552,500,36666,73.332000,11,36104,4501905892932342131
build,random,ordinary_bst,500,0,524329552,500,30041,60.082000,18,32024,4501905892932342131
build,random,sorted_vector,500,0,524329552,500,93125,186.250000,,32012,4501905892932342131
build,random,red_black_tree,500,1,524329808,500,37459,74.918000,11,36104,4501905892932342131
build,random,sorted_vector,500,1,524329808,500,95083,190.166000,,32012,4501905892932342131
build,random,ordinary_bst,500,1,524329808,500,29167,58.334000,22,32024,4501905892932342131
build,random,ordinary_bst,500,2,524330064,500,31208,62.416000,20,32024,4501905892932342131
build,random,red_black_tree,500,2,524330064,500,38167,76.334000,11,36104,4501905892932342131
build,random,sorted_vector,500,2,524330064,500,93292,186.584000,,32012,4501905892932342131
build,random,sorted_vector,500,3,524330320,500,93667,187.334000,,32012,4501905892932342131
build,random,red_black_tree,500,3,524330320,500,37667,75.334000,11,36104,4501905892932342131
build,random,ordinary_bst,500,3,524330320,500,30291,60.582000,18,32024,4501905892932342131
build,random,red_black_tree,500,4,524330576,500,37625,75.250000,11,36104,4501905892932342131
build,random,ordinary_bst,500,4,524330576,500,30292,60.584000,17,32024,4501905892932342131
build,random,sorted_vector,500,4,524330576,500,98083,196.166000,,32012,4501905892932342131
build,random,red_black_tree,500,5,524330832,500,36834,73.668000,11,36104,4501905892932342131
build,random,sorted_vector,500,5,524330832,500,90959,181.918000,,32012,4501905892932342131
