scenario,distribution,implementation,n,trial,seed,operations,elapsed_ns,ns_per_op,height,estimated_bytes,checksum
lookup,random,sorted_vector,250,1,262185773,250,12792,51.168000,,16022,9484351791742728227
lookup,random,red_black_tree,250,1,262185773,250,14125,56.500000,10,18104,9484351791742728227
lookup,random,ordinary_bst,250,2,262186029,250,15417,61.668000,21,16024,7971681663381420854
lookup,random,red_black_tree,250,2,262186029,250,14708,58.832000,10,18104,7971681663381420854
lookup,random,sorted_vector,250,2,262186029,250,11833,47.332000,,16022,7971681663381420854
lookup,random,ordinary_bst,250,3,262186285,250,14958,59.832000,15,16024,2188661299650394144
lookup,random,red_black_tree,250,3,262186285,250,14458,57.832000,10,18104,2188661299650394144
lookup,random,sorted_vector,250,3,262186285,250,12375,49.500000,,16022,2188661299650394144
lookup,random,red_black_tree,250,4,262186541,250,14792,59.168000,10,18104,5039523400644762390
lookup,random,sorted_vector,250,4,262186541,250,11750,47.000000,,16022,5039523400644762390
lookup,random,ordinary_bst,250,4,262186541,250,15458,61.832000,20,16024,5039523400644762390
lookup,random,red_black_tree,250,5,262186797,250,14209,56.836000,9,18104,11766269248642779097
lookup,random,ordinary_bst,250,5,262186797,250,14334,57.336000,15,16024,11766269248642779097
lookup,random,sorted_vector,250,5,262186797,250,12416,49.664000,,16022,11766269248642779097
lookup,random,sorted_vector,250,6,262187053,250,11916,47.664000,,16022,17404748491178090748
lookup,random,ordinary_bst,250,6,262187053,250,14833,59.332000,15,16024,17404748491178090748
lookup,random,red_black_tree,250,6,262187053,250,14458,57.832000,10,18104,17404748491178090748
build,nearly_sorted,red_black_tree,250,0,262185553,250,13333,53.332000,13,18104,11848659040478790818
build,nearly_sorted,ordinary_bst,250,0,262185553,250,54458,217.832000,240,16024,11848659040478790818
build,nearly_sorted,sorted_vector,250,0,262185553,250,7625,30.500000,,16022,11848659040478790818
build,nearly_sorted,ordinary_bst,250,1,262185809,250,53500,214.000000,239,16024,11848659040478790818
build,nearly_sorted,red_black_tree,250,1,262185809,250,12458,49.832000,13,18104,11848659040478790818
build,nearly_sorted,sorted_vector,250,1,262185809,250,7333,29.332000,,16022,11848659040478790818
build,nearly_sorted,ordinary_bst,250,2,262186065,250,53333,213.332000,239,16024,11848659040478790818
build,nearly_sorted,sorted_vector,250,2,262186065,250,7083,28.332000,,16022,11848659040478790818
build,nearly_sorted,red_black_tree,250,2,262186065,250,11666,46.664000,13,18104,11848659040478790818
build,nearly_sorted,sorted_vector,250,3,262186321,250,6959,27.836000,,16022,11848659040478790818
build,nearly_sorted,ordinary_bst,250,3,262186321,250,53917,215.668000,238,16024,11848659040478790818
build,nearly_sorted,red_black_tree,250,3,262186321,250,11375,45.500000,13,18104,11848659040478790818
build,nearly_sorted,sorted_vector,250,4,262186577,250,7000,28.000000,,16022,11848659040478790818
build,nearly_sorted,ordinary_bst,250,4,262186577,250,53167,212.668000,238,16024,11848659040478790818
build,nearly_sorted,red_black_tree,250,4,262186577,250,11083,44.332000,13,18104,11848659040478790818
build,nearly_sorted,red_black_tree,250,5,262186833,250,11041,44.164000,13,18104,11848659040478790818
build,nearly_sorted,ordinary_bst,250,5,262186833,250,53084,212.336000,238,16024,11848659040478790818
build,nearly_sorted,sorted_vector,250,5,262186833,250,9166,36.664000,,16022,11848659040478790818
build,nearly_sorted,red_black_tree,250,6,262187089,250,11209,44.836000,13,18104,11848659040478790818
build,nearly_sorted,sorted_vector,250,6,262187089,250,7167,28.668000,,16022,11848659040478790818
build,nearly_sorted,ordinary_bst,250,6,262187089,250,52834,211.336000,238,16024,11848659040478790818
lookup,nearly_sorted,sorted_vector,250,0,262185518,250,12292,49.168000,,16022,13295025825122730680
lookup,nearly_sorted,red_black_tree,250,0,262185518,250,14375,57.500000,13,18104,13295025825122730680
lookup,nearly_sorted,ordinary_bst,250,0,262185518,250,50041,200.164000,238,16024,13295025825122730680
lookup,nearly_sorted,ordinary_bst,250,1,262185774,250,50291,201.164000,240,16024,12260805809856289923
lookup,nearly_sorted,red_black_tree,250,1,262185774,250,13875,55.500000,13,18104,12260805809856289923
lookup,nearly_sorted,sorted_vector,250,1,262185774,250,12125,48.500000,,16022,12260805809856289923
lookup,nearly_sorted,sorted_vector,250,2,262186030,250,11917,47.668000,,16022,1306262432941690314
lookup,nearly_sorted,ordinary_bst,250,2,262186030,250,49500,198.000000,239,16024,1306262432941690314
lookup,nearly_sorted,red_black_tree,250,2,262186030,250,13875,55.500000,13,18104,1306262432941690314
lookup,nearly_sorted,red_black_tree,250,3,262186286,250,13542,54.168000,13,18104,12588682824796332832
lookup,nearly_sorted,sorted_vector,250,3,262186286,250,11917,47.668000,,16022,12588682824796332832
lookup,nearly_sorted,ordinary_bst,250,3,262186286,250,49583,198.332000,238,16024,12588682824796332832
lookup,nearly_sorted,ordinary_bst,250,4,262186542,250,49291,197.164000,238,16024,14738074718860737033
lookup,nearly_sorted,red_black_tree,250,4,262186542,250,13583,54.332000,13,18104,14738074718860737033
lookup,nearly_sorted,sorted_vector,250,4,262186542,250,11917,47.668000,,16022,14738074718860737033
lookup,nearly_sorted,ordinary_bst,250,5,262186798,250,50042,200.168000,238,16024,8197515192502866606
lookup,nearly_sorted,red_black_tree,250,5,262186798,250,13208,52.832000,13,18104,8197515192502866606
